,hpso,Image Spectral Fitting ,IFFT,Reprojection Predict,Reprojection,Subtract Image Component ,Phase Rotation Predict ,Degrid,Visibility Weighting ,Phase Rotation ,Identify Component ,Gridding Kernel Update ,Subtract Visibility ,Source Find ,Correct ,DFT ,Solv,Flag ,Average,Receive,Demix,FFT,Grid ,Degridding Kernel Update
FastImg,hpso04b,,0.02746023214865,,,,0.0,0.001080286584423,7.04140560339929e-06,0.0,,9.61392189570057e-05,1.78156306494007e-05,,7.12625225976028e-05,0.29973962323729,,0.002485280475591,,,,0.02746023214865,0.001080286584423,9.61392189570057e-05
Ingest,hpso04b,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso04b,,0.092354031937508,0.008341406297765,0.001668281259553,,0.0495973302272,0.028766342886005,7.21619939850365e-05,0.0495973302272,,0.022993554200733,7.22993152e-05,,0.0011567890432,0.608201020913371,,0.0100857544704,,,,0.018470806387502,0.028766342886005,0.022993554200733
FastImg,hpso04c,,0.02895540085034,,,,0.0,0.000359943507861,4.0423232506079e-06,0.0,,3.10884978447698e-05,1.02275810779841e-05,,4.09103243119365e-05,0.172074250935761,,0.001426747560379,,,,0.02895540085034,0.000359943507861,3.10884978447698e-05
Ingest,hpso04c,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso04c,,0.049993596345306,0.008775510642356,0.001755102128471,,0.02925669191225,0.01777422027871,4.14311025776367e-05,0.02925669191225,,0.013306468059422,4.264823893914e-05,,0.000682371823026,0.358768300794948,,0.00594942933201,,,,0.009998719269061,0.01777422027871,0.013306468059422
FastImg,hpso05b,,0.02838167030351,,,,0.0,0.001123166247226,1.1531794040729e-05,0.0,,9.63668539848997e-05,2.91768732603068e-05,,0.000116707493041,0.490887197337622,,0.004070173819813,,,,0.02838167030351,0.001123166247226,9.63668539848997e-05
Ingest,hpso05b,,,,,,,,,,,,,,,,,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,,,
RCAL,hpso05b,,0.084441026537197,0.008609046797806,0.001721809359561,,0.0495973302272,0.036096055637062,0.000118193174419,0.0495973302272,,0.024943912202774,7.22993152e-05,,0.0011567890432,0.608201020913371,,0.0100857544704,,,,0.016888205307439,0.036096055637062,0.024943912202774
DPrepA,hpso13,,0.003614069401029,0.000235422677439,0.000235422677439,1.28221874305556e-06,0.0,0.004147011258728,2.85776009635594e-06,0.0,6.65632567094354e-07,0.000874778321215,6.28440709240393e-06,,0.000100550513478,0.1238762403107,,0.00087667478939,,,,0.003614069401029,0.004147011258728,0.000874778321215
DPrepB,hpso13,,0.002214810676523,0.000188338141951,0.000188338141951,0.000205154998889,0.0,0.001010713520605,2.85776009635594e-06,0.0,0.000106501210735,0.001167059786088,6.28440709240393e-06,,0.000100550513478,0.1238762403107,,0.00087667478939,,,,0.002214810676523,0.001010713520605,0.001167059786088
DPrepC,hpso13,,0.001521722817798,0.000235422677439,0.003766762839026,0.004103099977778,0.0,0.007609079562965,1.35584664642979e-05,0.0,0.002130024214702,0.008485098341204,2.0870730752221e-05,,0.000333931692036,0.411397228108765,,0.002911466939935,,,,0.024347565084767,0.007609079562965,0.008485098341204
FastImg,hpso13,,0.001284420985605,,,,0.0,1.92096774869553e-05,4.35667697066313e-07,0.0,,1.29529114807815e-05,9.58069347039549e-07,,3.8322773881582e-06,0.018885159239865,,0.000133650673912,,,,0.001284420985605,1.92096774869553e-05,1.29529114807815e-05
ICAL,hpso13,,0.030210623830195,0.004044065070575,0.000808813014115,2.098176125e-05,0.009717778581814,0.010809998335329,4.24700718829088e-05,0.009717778581814,0.000131346636202,0.018936111423124,2.77650816623255e-05,1.875e-12,0.000444241306597,0.27364824379421,,0.003873228891894,,,,0.006042124766039,0.010809998335329,0.018936111423124
Ingest,hpso13,,,,,,,,,,,,,,,,,0.002279090026974,6.55853245172483e-05,3.28168753424838e-05,0.133145930085948,,,
RCAL,hpso13,,0.003356735800707,0.000449340563397,8.98681126794543e-05,,0.001079753175757,0.001201110958805,4.71889687587876e-06,0.001079753175757,,0.002104012455945,3.08500907359172e-06,,4.93601451774675e-05,0.030405360421579,,0.000430358765766,,,,0.000671347160141,0.001201110958805,0.002104012455945
