Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.006281068530030465,0.00018075017352605654,9.04040637443387e-05,0.3670356769420338,-1.0,-1.0,-1.0
Ingest_data,hpso01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.27112526028908485,0.2699858390207885,0.27112526028908485,0.27112526028908485,-1.0,-1.0,-1.0
RCAL,hpso01,-1.0,0.018463740283889557,8.177208560553091e-05,1.6354417121106183e-05,-1.0,0.0,0.008762283201835112,3.734669636829466e-05,0.0,-1.0,0.009718133561315229,1.810022005866021e-05,-1.0,0.0086881056281569,0.15960904947246868,0.0003660309330132041,0.002524980698183099,-1.0,-1.0,-1.0,0.003692748056777911,0.008762283201835112,0.009718133561315229
RCAL_data,hpso01,-1.0,0.013084590324322664,0.013083533696884947,0.002616706739376989,-1.0,0.0,0.028010022276220993,0.0025438507973232086,0.0,-1.0,19.65005079238443,0.10860132035196124,-1.0,0.10860132035196124,0.10860132035196124,2.62144e-07,0.10860132035196124,-1.0,-1.0,-1.0,0.002616706739376989,1.6169676845528984,19.65005079238443
FastImg,hpso01,-1.0,0.00038054755769741875,-1.0,-1.0,-1.0,0.0,0.0012254801396113515,2.7834954688960693e-05,0.0,-1.0,0.001995028719354165,1.023249364591549e-05,-1.0,0.001227899237509859,0.1804617379528741,-1.0,0.001427432863605211,-1.0,-1.0,-1.0,0.00038054755769741875,0.0012254801396113515,0.001995028719354165
FastImg_data,hpso01,-1.0,0.038780114134384217,-1.0,-1.0,-1.0,0.0,0.02087621601672052,0.004658626033685299,0.0,-1.0,0.7174030280611161,0.06139496187549294,-1.0,0.06139496187549296,0.06139496187549294,-1.0,0.06139496187549296,-1.0,-1.0,-1.0,0.038766025768548,17.250182455056517,0.7174030280611161
ICAL,hpso01,-1.0,0.16617366255593496,0.0007359487704497782,0.00014718975408995567,0.00033570818,0.0,0.07886054881631045,0.00033612026731465194,0.0,8.423369032102074e-05,0.08746320205148549,0.00016290198052794187,3e-12,0.0781929506534121,1.4364814452522183,0.046420449430170124,0.022724826283647893,-1.0,-1.0,-1.0,0.03323473251118699,0.07886054881631045,0.08746320205148549
ICAL_data,hpso01,-1.0,0.11776131291890397,0.11775180327196452,0.023550360654392904,0.00012265812840829638,0.0,0.2520902004859889,0.02289465717590888,0.0,8e-10,176.85045712899688,0.9774118831676513,1.44e-08,0.9774118831676513,0.9774118831676513,5.461333333333334e-06,0.9774118831676513,-1.0,-1.0,-1.0,0.023550360654392904,14.552709160976084,176.85045712899688
DPrepA,hpso01,-1.0,0.0057968467187726495,6.169361739786284e-05,6.169361739786284e-05,2.0515499888888888e-05,0.0,0.033298689813823494,3.8340038242919304e-05,0.0,1.0309161292275997e-05,0.016886545506483965,3.687411462087462e-05,-1.0,0.01769957501801982,0.6503172188738907,-1.0,0.005143938989612011,-1.0,-1.0,-1.0,0.0057968467187726495,0.033298689813823494,0.016886545506483965
DPrepA_data,hpso01,-1.0,0.00987313117288303,0.009870978783658052,0.009870978783658052,2.0564539132620944e-05,0.0,0.14377514341094738,0.008069385631115308,0.0,9.777777777777777e-11,6.018140163066544,0.22124468772524775,-1.0,0.22124468772524775,0.22124468772524775,-1.0,0.22124468772524775,-1.0,-1.0,-1.0,0.009870978783658052,2.2598788232952334,6.018140163066544
