Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0003936331841155408,1.1327573643612687e-05,5.667408944470147e-06,0.023051540081770905,-1.0,-1.0,-1.0
Ingest_data,hpso01,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.016991360465419027,0.016848932806881985,0.016991360465419027,0.016991360465419027,-1.0,-1.0,-1.0
RCAL,hpso01,-1.0,0.00013285640060213224,1.2776888375864205e-06,2.555377675172841e-07,-1.0,0.0,0.00021623682575233727,1.2778264578935194e-06,0.0,-1.0,0.0008157607945608611,1.4124890666334898e-07,-1.0,6.779947519840751e-05,0.002494809283465694,6.851509973266979e-06,1.9704222479537183e-05,-1.0,-1.0,-1.0,2.657128012042645e-05,0.00021623682575233727,0.0008157607945608611
RCAL_data,hpso01,-1.0,0.00020456229244354183,0.0002044302140138273,4.0886042802765456e-05,-1.0,0.0,0.0009583698434201395,0.0004651673720289362,0.0,-1.0,0.2614583588275452,0.0008474934399800939,-1.0,0.0008474934399800939,0.0008474934399800939,2.62144e-07,0.0008474934399800939,-1.0,-1.0,-1.0,4.0886042802765456e-05,0.001685813270382057,0.2614583588275452
FastImg,hpso01,-1.0,3.5684705359384775e-06,-1.0,-1.0,-1.0,0.0,0.00018638242708974743,4.60010095325025e-06,0.0,-1.0,0.0005824233341275331,5.750126191562812e-07,-1.0,6.900151429875376e-05,0.020312324594484777,-1.0,8.021426037230124e-05,-1.0,-1.0,-1.0,3.5684705359384775e-06,0.00018638242708974743,0.0005824233341275331
FastImg_data,hpso01,-1.0,0.0006074801983630891,-1.0,-1.0,-1.0,0.0,0.0034500757149376875,0.002325836860144681,0.0,-1.0,0.00022737852691115853,0.003450075714937688,-1.0,0.003450075714937688,0.003450075714937688,-1.0,0.003450075714937688,-1.0,-1.0,-1.0,0.0006057191526335625,0.0180223532922051,0.00022737852691115853
ICAL,hpso01,-1.0,0.0011957076053932824,1.1499199538277785e-05,2.2998399076555574e-06,0.00033570818,0.0,0.0019461314317737403,1.1500438121041675e-05,0.0,8.393183633314094e-05,0.007341847151060589,1.271240159970141e-06,3e-12,0.0006101952767856676,0.022453283551191243,0.00044548328105817336,0.00017733800231583462,-1.0,-1.0,-1.0,0.00023914152107865652,0.0019461314317737403,0.007341847151060589
ICAL_data,hpso01,-1.0,0.0018410606319918764,0.0018398719261244457,0.0003679743852248891,1.916533256379631e-06,0.0,0.008625328590781255,0.004186506348260425,0.0,8e-10,2.3531252295645064,0.007627440959820844,1.44e-08,0.007627440959820844,0.007627440959820844,5.461333333333334e-06,0.007627440959820844,-1.0,-1.0,-1.0,0.0003679743852248891,0.01517231943343851,2.3531252295645064
DPrepA,hpso01,-1.0,4.223072119367288e-05,9.639627718416068e-07,9.639627718416068e-07,2.0515499888888888e-05,0.0,0.0021242185053650625,2.6048397926403535e-06,0.0,1.0258553246754313e-05,0.0016566605260026745,2.879348525543632e-07,-1.0,0.0001382087292260943,0.010171300580726478,-1.0,4.016691193133366e-05,-1.0,-1.0,-1.0,4.223072119367288e-05,0.0021242185053650625,0.0016566605260026745
DPrepA_data,hpso01,-1.0,0.0001545030921477792,0.00015423404349465707,0.00015423404349465707,3.2132092394720225e-07,0.0,0.009768149222401325,0.0025584205461591488,0.0,9.777777777777777e-11,0.08366975199080844,0.0017276091153261791,-1.0,0.0017276091153261793,0.0017276091153261791,-1.0,0.0017276091153261793,-1.0,-1.0,-1.0,0.00015423404349465707,0.0023595952771527625,0.08366975199080844
