Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso04b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso04b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
RCAL,hpso04b,-1.0,0.0923540352713025,0.008341406297764633,0.0016682812595529264,-1.0,0.0495973302272,0.028766341965449277,7.216199398503653e-05,0.0495973302272,-1.0,0.022993553121011163,7.22993152e-05,-1.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,-1.0,-1.0,-1.0,0.018470807054260505,0.028766341965449277,0.022993553121011163
RCAL_data,hpso04b,-1.0,1.3346778305163263,1.3346250076423414,0.26692500152846826,-1.0,21.255998668799997,0.05412149548877739,0.011106300594554233,0.05412149548877739,-1.0,75.77277625131914,0.43379589119999995,-1.0,0.43379589119999995,0.43379589119999995,5.0432e-08,0.43379589119999995,-1.0,-1.0,-1.0,0.26692500152846826,363.376536118223,75.77277625131914
FastImg,hpso04b,-1.0,0.027460232148650246,-1.0,-1.0,-1.0,0.0,0.0010969526589620366,7.452119583806716e-06,0.0,-1.0,0.00011756433550093637,1.781563064940069e-05,-1.0,7.126252259760276e-05,0.29973962323729036,-1.0,0.002485280475591397,-1.0,-1.0,-1.0,0.027460232148650246,0.0010969526589620366,0.00011756433550093637
FastImg_data,hpso04b,-1.0,2.746225836865347,-1.0,-1.0,-1.0,0.0,0.005589089687855037,0.0005480784024310528,0.0,-1.0,1.3185941881018757,0.10689378389640417,-1.0,0.10689378389640417,0.10689378389640417,-1.0,0.10689378389640417,-1.0,-1.0,-1.0,2.7461419910336264,10459.052069766714,1.3185941881018757
Ingest,hpso04c,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,-1.0,-1.0,-1.0
Ingest_data,hpso04c,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.4382223798857142,0.43379589119999995,0.4382223798857142,0.4382223798857142,-1.0,-1.0,-1.0
RCAL,hpso04c,-1.0,0.04999359373448289,0.00877551064235567,0.0017551021284711343,-1.0,0.02925669191225003,0.01777422108766511,4.1431102577636696e-05,0.02925669191225003,-1.0,0.013306468816960241,4.2648238939139994e-05,-1.0,0.0006823718230262399,0.3587683007949478,0.0008532628319027998,0.005949429332010028,-1.0,-1.0,-1.0,0.009998718746896576,0.01777422108766511,0.013306468816960241
RCAL_data,hpso04c,-1.0,1.4041358827253503,1.4040817027769072,0.2808163405553814,-1.0,12.538582248107156,0.031073326933227525,0.011113176835337557,0.031073326933227525,-1.0,38.72263506297122,0.25588943363483996,-1.0,0.25588943363483996,0.25588943363483996,5.0432e-08,0.25588943363483996,-1.0,-1.0,-1.0,0.2808163405553814,219.46289597930922,38.72263506297122
