Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso04b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0034299095386638467,9.870243276730496e-05,4.937375979979226e-05,0.20037355620152356,-1.0,-1.0,-1.0
Ingest_data,hpso04b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.14805364915095742,0.1462807627667931,0.14805364915095742,0.14805364915095742,-1.0,-1.0,-1.0
RCAL,hpso04b,-1.0,0.004288972687195515,0.000391582684533951,7.831653690679023e-05,-1.0,0.0018997467396744793,0.001749889949302976,7.99195071679565e-06,0.0018997467396744793,-1.0,0.003315097504312973,5.42784782764137e-06,-1.0,8.684556524226192e-05,0.054232595361384126,0.00010885500967282737,0.0007571847719559711,-1.0,-1.0,-1.0,0.0008577945374391027,0.001749889949302976,0.003315097504312973
RCAL_data,hpso04b,-1.0,0.06266140449402503,0.06265322952543217,0.012530645905086435,-1.0,0.8141771741462055,0.005993963037596738,0.0029000864472400073,0.005993963037596738,-1.0,9.06425775591678,0.032567086965848216,-1.0,0.032567086965848216,0.032567086965848216,5.0432e-08,0.032567086965848216,-1.0,-1.0,-1.0,0.012530645905086435,3.207272753522206,9.06425775591678
FastImg,hpso04b,-1.0,0.0011113259972660595,-1.0,-1.0,-1.0,0.0,4.834879516396861e-05,1.1358295206100676e-06,0.0,-1.0,4.7001260855615665e-05,1.685654582982822e-06,-1.0,6.742618331931288e-06,0.03368459316505742,-1.0,0.00023514881432610375,-1.0,-1.0,-1.0,0.0011113259972660595,4.834879516396861e-05,4.7001260855615665e-05
FastImg_data,hpso04b,-1.0,0.12893427673150698,-1.0,-1.0,-1.0,0.0,0.0008518721404575508,0.00032858236977162836,0.0,-1.0,0.0036155534814593785,0.010113927497896934,-1.0,0.010113927497896934,0.010113927497896934,-1.0,0.010113927497896934,-1.0,-1.0,-1.0,0.12891611013463408,65.9385366355503,0.0036155534814593785
Ingest,hpso04c,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0034736891042037306,9.996227637996347e-05,5.000396935160088e-05,0.20293103873522034,-1.0,-1.0,-1.0
Ingest_data,hpso04c,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1499434145699452,0.14814789896049801,0.1499434145699452,0.1499434145699452,-1.0,-1.0,-1.0
RCAL,hpso04c,-1.0,0.002272030709984616,0.0004119614718216967,8.239229436433932e-05,-1.0,0.0011045253296931862,0.001050733865201444,4.646567091061921e-06,0.0011045253296931862,-1.0,0.0019420368630912782,3.155786656266247e-06,-1.0,5.049258650025995e-05,0.03153118993214539,6.341378624532495e-05,0.0004402322385491414,-1.0,-1.0,-1.0,0.00045440614199692325,0.001050733865201444,0.0019420368630912782
RCAL_data,hpso04c,-1.0,0.06592222048349239,0.06591383549147146,0.013182767098294293,-1.0,0.473367998439937,0.0034849253182964407,0.0029371033199175685,0.0034849253182964407,-1.0,3.378949663937427,0.01893471993759748,-1.0,0.01893471993759748,0.01893471993759748,5.0432e-08,0.01893471993759748,-1.0,-1.0,-1.0,0.013182767098294293,1.9370407244942853,3.378949663937427
FastImg,hpso04c,-1.0,0.0011722638070178581,-1.0,-1.0,-1.0,0.0,2.715721143095465e-05,6.559999027168881e-07,0.0,-1.0,2.6363844429202382e-05,9.800505583510686e-07,-1.0,3.9202022334042746e-06,0.019584441956563954,-1.0,0.00013671705288997407,-1.0,-1.0,-1.0,0.0011722638070178581,2.715721143095465e-05,2.6363844429202382e-05
FastImg_data,hpso04c,-1.0,0.1356438092239796,-1.0,-1.0,-1.0,0.0,0.0004919999270376662,0.0003292567888609044,0.0,-1.0,0.0005650489381648319,0.005880303350106411,-1.0,0.005880303350106411,0.005880303350106411,-1.0,0.005880303350106411,-1.0,-1.0,-1.0,0.13562517590837753,39.82376823833515,0.0005650489381648319
Ingest,hpso05b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.003457097390143216,9.948481698253859e-05,4.976513060222389e-05,0.20196179615844784,-1.0,-1.0,-1.0
Ingest_data,hpso05b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1492272254738079,0.14744028595758307,0.1492272254738079,0.1492272254738079,-1.0,-1.0,-1.0
RCAL,hpso05b,-1.0,0.0050773129564163424,0.0004041469191192436,8.08293838238487e-05,-1.0,0.0020069758850400406,0.0028500139216738065,1.3599978139388979e-05,0.0020069758850400406,-1.0,0.004140727767324278,8.959713772500181e-06,-1.0,0.0001433554203600029,0.08952139908995399,0.00017949232857000365,0.0012498800712637751,-1.0,-1.0,-1.0,0.0010154625912832686,0.0028500139216738065,0.004140727767324278
RCAL_data,hpso05b,-1.0,0.06467015112566647,0.06466350705907899,0.012932701411815796,-1.0,0.8601325221600175,0.010199983604541735,0.002405057348223948,0.010199983604541735,-1.0,7.036657477421266,0.05375828263500109,-1.0,0.05375828263500109,0.05375828263500109,5.0432e-08,0.05375828263500109,-1.0,-1.0,-1.0,0.012932701411815796,6.776060336894304,7.036657477421266
FastImg,hpso05b,-1.0,0.0011488782267602632,-1.0,-1.0,-1.0,0.0,7.757907242144088e-05,1.8671488147312689e-06,0.0,-1.0,7.560679835355952e-05,2.7824989547679042e-06,-1.0,1.1129995819071617e-05,0.055602936817399834,-1.0,0.0003881586041901227,-1.0,-1.0,-1.0,0.0011488782267602632,7.757907242144088e-05,7.560679835355952e-05
FastImg_data,hpso05b,-1.0,0.1330709394011771,-1.0,-1.0,-1.0,0.0,0.0014003616110484516,0.00032900119544538664,0.0,-1.0,0.0020608698052058914,0.01669499372860743,-1.0,0.01669499372860743,0.01669499372860743,-1.0,0.01669499372860743,-1.0,-1.0,-1.0,0.13305248366065628,111.45293701270586,0.0020608698052058914
Ingest,hpso13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0020878938811819945,6.008327715631639e-05,3.0064122156027866e-05,0.12197667031121678,-1.0,-1.0,-1.0
Ingest_data,hpso13,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.09012491573447458,0.08904570399673016,0.09012491573447458,0.09012491573447458,-1.0,-1.0,-1.0
RCAL,hpso13,-1.0,0.0027523570513292156,0.0003874416082354025,7.74883216470805e-05,-1.0,0.0009183675142551723,0.0009654690115110863,3.863435976941947e-06,0.0009183675142551723,-1.0,0.0019140139097245034,2.6239071835862064e-06,-1.0,4.19825149373793e-05,0.026216891311615077,5.277619679172413e-05,0.00036603505211027574,-1.0,-1.0,-1.0,0.0005504714102658433,0.0009654690115110863,0.0019140139097245034
RCAL_data,hpso13,-1.0,0.06199878894528782,0.06199065731766442,0.012398131463532882,-1.0,0.393586077537931,0.00289757698270646,0.0028923885830345725,0.00289757698270646,-1.0,6.493651759044364,0.01574344310151724,-1.0,0.015743443101517242,0.01574344310151724,5.0432e-08,0.015743443101517242,-1.0,-1.0,-1.0,0.012398131463532882,1.5381340979618068,6.493651759044364
FastImg,hpso13,-1.0,0.001098962098935213,-1.0,-1.0,-1.0,0.0,2.3221398398977884e-05,5.498467378180163e-07,0.0,-1.0,2.2734104054131193e-05,8.148720221864018e-07,-1.0,3.259488088745608e-06,0.016283663821780918,-1.0,0.00011367464709500305,-1.0,-1.0,-1.0,0.001098962098935213,2.3221398398977884e-05,2.2734104054131193e-05
FastImg_data,hpso13,-1.0,0.1275708631183079,-1.0,-1.0,-1.0,0.0,0.0004123850533635122,0.00032844212057737526,0.0,-1.0,0.0013403034715985212,0.004889232133118411,-1.0,0.004889232133118411,0.004889232133118411,-1.0,0.004889232133118411,-1.0,-1.0,-1.0,0.1275527928347004,31.622599638269442,0.0013403034715985212
ICAL,hpso13,-1.0,0.024771213460816052,0.003486974474118623,0.0006973948948237245,2.098176125e-05,0.00826530762829655,0.008689221103792038,3.4770923792477526e-05,0.00826530762829655,0.00013131762106636033,0.017226125188016434,2.361516465227586e-05,1.875e-12,0.00037784263443641376,0.2359520218045357,0.0006303139600926896,0.0032943154689924824,-1.0,-1.0,-1.0,0.0049542426921632115,0.008689221103792038,0.017226125188016434
ICAL_data,hpso13,-1.0,0.5579891005075903,0.5579159158589797,0.11158318317179594,7.264530154413797e-05,3.542274697841379,0.026078192844358142,0.026031497247311155,0.026078192844358142,1.25e-09,58.44286583416869,0.14169098791365511,1.44e-08,0.14169098791365514,0.14169098791365511,9.750186666666666e-08,0.14169098791365514,-1.0,-1.0,-1.0,0.11158318317179594,13.843206881656261,58.44286583416869
DPrepA,hpso13,-1.0,0.0029486904534746536,0.00020299200248577898,0.00020299200248577898,1.2822187430555555e-06,0.0,0.0033292421500182886,2.3341453836553306e-06,0.0,6.622543717867132e-07,0.0008215907332663552,5.3451145938631255e-06,-1.0,8.552183350181001e-05,0.10681192477541247,-1.0,0.0007456434858439061,-1.0,-1.0,-1.0,0.0029486904534746536,0.0033292421500182886,0.0008215907332663552
DPrepA_data,hpso13,-1.0,0.032481481135498015,0.03247872039772464,0.03247872039772464,8.458000103574126e-06,0.0,0.00875304518870749,0.001080038712928686,0.0,6.111111111111111e-12,3.520918043554313,0.032070687563178754,-1.0,0.032070687563178754,0.032070687563178754,-1.0,0.032070687563178754,-1.0,-1.0,-1.0,0.03247872039772464,6.2176285245158205,3.520918043554313
DPrepB,hpso13,-1.0,0.0018461980828627308,0.0001623936019886232,0.0001623936019886232,0.00020515499888888887,0.0,0.0007945095705244059,2.3341453836553306e-06,0.0,0.00010596069948587408,0.0010621664112950738,5.3451145938631255e-06,-1.0,8.552183350181001e-05,0.10681192477541247,-1.0,0.0007456434858439061,-1.0,-1.0,-1.0,0.0018461980828627308,0.0007945095705244059,0.0010621664112950738
DPrepB_data,hpso13,-1.0,0.025985184908398413,0.025982976318179713,0.025982976318179713,0.00135328001657186,0.0,0.0017506090377414978,0.001080038712928686,0.0,9.777777777777778e-10,6.6947351391325345,0.032070687563178754,-1.0,0.032070687563178754,0.032070687563178754,-1.0,0.032070687563178754,-1.0,-1.0,-1.0,0.025982976318179713,1.243525704903164,6.6947351391325345
DPrepC,hpso13,-1.0,0.0012518942606109425,0.00020299200248577898,0.0032478720397724637,0.004103099977777778,0.0,0.006345164219933084,1.181565817545372e-05,0.0,0.0021192139897174816,0.008041701371395418,1.7751288117121205e-05,-1.0,0.0002840206098739393,0.35472565044901566,-1.0,0.0024763046923384083,-1.0,-1.0,-1.0,0.02003030816977508,0.006345164219933084,0.008041701371395418
DPrepC_data,hpso13,-1.0,0.032481481135498015,0.03247872039772464,0.5196595263635942,0.027065600331437203,0.0,0.00886174363159029,0.0019682451894259805,0.0,1.9555555555555553e-08,32.114181073143335,0.10650772870272723,-1.0,0.10650772870272723,0.10650772870272723,-1.0,0.10650772870272723,-1.0,-1.0,-1.0,0.5196595263635942,3.450381656581227,32.114181073143335
Ingest,hpso14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0034876677888680536,0.00010036454068685048,5.020519338131748e-05,0.20374763527820097,-1.0,-1.0,-1.0
Ingest_data,hpso14,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.1505468110302757,0.14874406997670803,0.1505468110302757,0.1505468110302757,-1.0,-1.0,-1.0
