Pipeline,hpso,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso04b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00025598883274072454,7.366585114840992e-06,3.686110484437969e-06,0.014958716106017634,-1.0,-1.0,-1.0
Ingest_data,hpso04b,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.01104987767226149,0.010828266874240954,0.01104987767226149,0.01104987767226149,-1.0,-1.0,-1.0
RCAL,hpso04b,-1.0,0.00014096394319617863,4.248944059613185e-06,8.49788811922637e-07,-1.0,0.0,7.756322579050507e-05,4.0182682855289046e-07,0.0,-1.0,0.0001859997177124362,5.02283535691113e-08,-1.0,8.036536571057808e-07,0.0008474614389971958,1.302620191382226e-06,7.006855322891027e-06,-1.0,-1.0,-1.0,2.8192788639235727e-05,7.756322579050507e-05,0.0001859997177124362
RCAL_data,hpso04b,-1.0,0.0006800013613837936,0.0006798310495381095,0.00013596620990762192,-1.0,0.0,0.00030137012141466784,0.00013218099211719913,0.0,-1.0,0.08106378062801682,0.00030137012141466784,-1.0,0.00030137012141466784,0.00030137012141466784,5.0432e-08,0.00030137012141466784,-1.0,-1.0,-1.0,0.00013596620990762192,0.00620156013538373,0.08106378062801682
FastImg,hpso04b,-1.0,1.358773147288923e-05,-1.0,-1.0,-1.0,0.0,1.0917648174522416e-05,2.6949761923972125e-07,0.0,-1.0,2.3639726359396074e-05,3.3687202404965156e-08,-1.0,1.3474880961986062e-07,0.0011367525709008294,-1.0,4.6993647354926385e-06,-1.0,-1.0,-1.0,1.358773147288923e-05,1.0917648174522416e-05,2.3639726359396074e-05
FastImg_data,hpso04b,-1.0,0.002016585045462777,-1.0,-1.0,-1.0,0.0,0.00020212321442979092,0.00018481426442647133,0.0,-1.0,2.6066432334420065e-06,0.00020212321442979092,-1.0,0.00020212321442979092,0.00020212321442979092,-1.0,0.00020212321442979092,-1.0,-1.0,-1.0,0.0020143142208536575,0.044109003471660746,2.6066432334420065e-06
Ingest,hpso04c,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.00025925628914274287,7.460612637201235e-06,3.7331602138030106e-06,0.015149591976408925,-1.0,-1.0,-1.0
Ingest_data,hpso04c,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.011190918955801852,0.010966479504620952,0.011190918955801852,0.011190918955801852,-1.0,-1.0,-1.0
RCAL,hpso04c,-1.0,8.361829866181248e-05,4.470068053620841e-06,8.94013610724168e-07,-1.0,0.0,4.52869284730844e-05,2.3362450999671618e-07,0.0,-1.0,0.00010745977682326868,2.9203063749589526e-08,-1.0,4.672490199934324e-07,0.0004927191251511264,8.821143949917906e-07,4.0738273930677385e-06,-1.0,-1.0,-1.0,1.67236597323625e-05,4.52869284730844e-05,0.00010745977682326868
RCAL_data,hpso04c,-1.0,0.0007153855759131037,0.0007152108885793345,0.0001430421777158669,-1.0,0.0,0.00017521838249753713,0.0001338681580153925,0.0,-1.0,0.04788158049529158,0.00017521838249753713,-1.0,0.00017521838249753713,0.00017521838249753713,5.0432e-08,0.00017521838249753713,-1.0,-1.0,-1.0,0.0001430421777158669,0.0037454374612116543,0.04788158049529158
