,HPSO,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Ingest) [Bmax=4062.5 [Pflop/s],Total [Pflop/s,RCAL) [Bmax=4062.5 [Pflop/s],FastImg) [Bmax=4062.5 [Pflop/s],PSS) [Bmax=4062.5 [Pflop/s],PST) [Bmax=4062.5 [Pflop/s],ICAL) [Bmax=4062.5 [Pflop/s],DPrepA) [Bmax=4062.5 [Pflop/s],DPrepB) [Bmax=4062.5 [Pflop/s],DPrepC) [Bmax=4062.5 [Pflop/s],SinglePulse) [Bmax=4062.5 [Pflop/s]
0,hpso04b,197.0,2880000.0,0.16666666666666666,,,,,,,,,0.0,0.01852322569070237,,0.01104987767226149,0.015225757634357639,0.01852322569070237,0.0015584079750635294,0.0012381800812812024,0.00050088,,,,,,
1,hpso04c,197.0,8640000.0,0.16666666666666666,,,,,,,,,0.0,0.017554230684700543,,0.011190918955801852,0.01542004203840267,0.017554230684700543,0.0009096045941841518,0.0007237040521137218,0.00050088,,,,,,
2,hpso05b,197.0,5760000.0,0.25,,,,,,,,,0.0,0.019725658646901238,,0.011137466697462333,0.015346411538908655,0.019725658646901238,0.002367940046260778,0.002011031561731802,,2.755e-07,,,,,
3,hpso13,197.0,18000000.0,8.0,,,,,,,,,0.0,0.062331161460540206,,0.006726408297261338,0.009270178562815144,0.062331161460540206,0.0008157938715825053,0.0006138766725469057,,,0.007367724647278165,0.0023203526219143823,0.0023429454546386366,0.03960028962976447,
4,hpso14,197.0,7200000.0,8.0,,,,,,,,,0.0,0.0857222880889981,,0.011235953016851768,0.01548207646898347,0.0857222880889981,0.0009519547615626249,0.0007529915572964081,,,0.005399568637094823,0.002883724790009591,0.0031319640444317275,0.05712000782961946,
5,hpso15,197.0,45360000.0,4.4,,,,,,,,,0.0,0.058257504363688206,,0.011008940666068846,0.015169366897887563,0.058257504363688206,0.0007556806235928547,0.0006064446424219938,,,0.00430848453563368,0.002269507708549887,0.002915299484261346,0.032232720471340875,
6,hpso18,197.0,36000000.0,0.016666666666666666,,,,,,,,,0.0,0.018026345690702373,,0.01104987767226149,0.015225757634357639,0.018026345690702373,0.0015584079750635294,0.0012381800812812024,,,,,,,4e-06
7,hpso22,197.0,21600000.0,8.0,,,,,,,,,0.0,0.04646755206028767,,0.011121867652928547,0.015324923851085312,0.04646755206028767,0.0014468498505121323,0.0013300590024051667,,,0.0130755908395651,0.005019992784242371,0.010270135732477592,,
8,hpso27and33,197.0,36000000.0,0.12333333333333334,,,,,,,,,0.0,0.18941076217551225,,0.01147538165235744,0.015811889475451344,0.18941076217551225,0.0021889923036568864,0.0017890160036207916,,,0.009315236860973743,0.007316219951674677,0.15298940758013482,,
9,hpso32,197.0,36000000.0,2.2,,,,,,,,,0.0,0.055062195351739535,,0.011529090940250375,0.01588587403322074,0.055062195351739535,0.004624551614214765,0.003687218706543593,,,0.012753843573206036,,0.018110707424554392,,
10,hpso37a,197.0,36000000.0,3.8,,,,,,,,,0.0,0.05192121467679639,,0.01147538165235744,0.015811889475451344,0.05192121467679639,0.0021889923036568864,0.0017890160036207916,,,0.012909406807277106,0.007074756586676806,0.012147153500113457,,
11,hpso37b,197.0,7200000.0,8.0,,,,,,,,,0.0,0.05628333007171987,,0.01147538165235744,0.015811889475451344,0.05628333007171987,0.0021889923036568864,0.0017890160036207916,,,0.019756156120033314,0.0070705041606885155,0.00966677200826902,,
12,hpso37c,197.0,7200000.0,8.0,,,,,,,,,0.0,0.05628333007171987,,0.01147538165235744,0.015811889475451344,0.05628333007171987,0.0021889923036568864,0.0017890160036207916,,,0.019756156120033314,0.0070705041606885155,0.00966677200826902,,
13,hpso38a,197.0,3600000.0,8.0,,,,,,,,,0.0,0.04489261821803737,,0.011251970096733956,0.015504140000605836,0.04489261821803737,0.0016482238380318881,0.0014974935767052568,,,0.010130326243902293,0.0057259494513800585,0.01038648510741204,,
14,hpso38b,197.0,3600000.0,8.0,,,,,,,,,0.0,0.04965070873026959,,0.011251970096733956,0.015504140000605836,0.04965070873026959,0.0016482238380318881,0.0014974935767052568,,,0.014888416756134512,0.0057259494513800585,0.01038648510741204,,
