Pipeline,hpso,Baseline,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso04b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,0.0,0.0,0.0
Ingest_data,hpso04b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04b,150000.0,0.8675917824,0.0,0.0923540352713025,0.008341406297764633,0.0016682812595529264,0.0,0.0495973302272,0.028766341965449277,7.216199398503653e-05,0.0495973302272,0.0,0.022993553121011163,7.22993152e-05,0.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,0.0,0.0,0.0,0.018470807054260505,0.028766341965449277,0.022993553121011163
RCAL_data,hpso04b,150000.0,0.8675917824,0.0,0.25266043041033853,12767.458619027502,2553.4917238055,0.0,9037.4144,22569.01747000719,23.010839918697872,9037.4144,0.0,1.0389954279861455,9037.4144,0.0,9037.4144,9037.4144,9037.4144,9037.4144,0.0,0.0,0.0,0.050532086082067704,22569.01747000719,1.0389954279861455
FastImg,hpso04b,150000.0,0.21378756779280836,0.0,0.027460232148650246,0.0,0.0,0.0,0.0,0.0010969526589620366,7.452119583806716e-06,0.0,0.0,0.00011756433550093637,1.781563064940069e-05,0.0,7.126252259760276e-05,0.29973962323729036,0.0,0.002485280475591397,0.0,0.0,0.0,0.027460232148650246,0.0010969526589620366,0.00011756433550093637
FastImg_data,hpso04b,150000.0,0.21378756779280836,0.0,0.06550455603231,0.0,0.0,0.0,4453.907662350173,801910.675516986,232.87873699395988,4453.907662350173,0.0,4.74337234888496,4453.907662350173,0.0,4453.907662350173,4453.907662350173,0.0,4453.907662350173,0.0,0.0,0.0,0.06550455603231,801910.675516986,4.74337234888496
PSS,hpso04b,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04b,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso04c,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,0.0,0.0,0.0
Ingest_data,hpso04c,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04c,150000.0,0.5117788672696799,0.0,0.04999359373448289,0.00877551064235567,0.0017551021284711343,0.0,0.02925669191225003,0.01777422108766511,4.1431102577636696e-05,0.02925669191225003,0.0,0.013306468816960241,4.2648238939139994e-05,0.0,0.0006823718230262399,0.3587683007949478,0.0008532628319027998,0.005949429332010028,0.0,0.0,0.0,0.009998718746896576,0.01777422108766511,0.013306468816960241
RCAL_data,hpso04c,150000.0,0.5117788672696799,0.0,0.2591515391081244,13431.90404442194,2686.3808088843884,0.0,5331.029867392499,14209.847836514502,13.211448526032111,5331.029867392499,0.0,1.0580054586521113,5331.029867392499,0.0,5331.029867392499,5331.029867392499,5331.029867392499,5331.029867392499,0.0,0.0,0.0,0.05183030782162488,14209.847836514502,1.0580054586521113
FastImg,hpso04c,150000.0,0.12273097293580948,0.0,0.028955400850339656,0.0,0.0,0.0,0.0,0.00036950065501902045,4.278105111616477e-06,0.0,0.0,4.323020447624503e-05,1.0227581077984124e-05,0.0,4.09103243119365e-05,0.17207425093576056,0.0,0.0014267475603787852,0.0,0.0,0.0,0.028955400850339656,0.00036950065501902045,4.323020447624503e-05
FastImg_data,hpso04c,150000.0,0.12273097293580948,0.0,0.06718743606506927,0.0,0.0,0.0,2556.8952694960312,254605.86502324938,133.6907847380149,2556.8952694960312,0.0,3.357695534017584,2556.8952694960312,0.0,2556.8952694960312,2556.8952694960312,0.0,2556.8952694960312,0.0,0.0,0.0,0.06718743606506927,254605.86502324938,3.357695534017584
PSS,hpso04c,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04c,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso05b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010152151800685712,0.00029214825325714285,0.0001461304123428571,0.5930699847811198,0.0,0.0,0.0
Ingest_data,hpso05b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso05b,150000.0,0.8675917824,0.0,0.0844410300164273,0.00860904679780637,0.0017218093595612737,0.0,0.0495973302272,0.03609605459329583,0.00011819317441855313,0.0495973302272,0.0,0.024943911159001703,7.22993152e-05,0.0,0.0011567890432,0.6082010209133714,0.00144628435712,0.010085754470399997,0.0,0.0,0.0,0.016888206003285458,0.03609605459329583,0.024943911159001703
RCAL_data,hpso05b,150000.0,0.8675917824,0.0,0.25668183073234846,13177.112445621993,2635.4224891243985,0.0,9037.4144,28255.056661470386,37.689150005916176,9037.4144,0.0,0.8150655849102763,9037.4144,0.0,9037.4144,9037.4144,9037.4144,9037.4144,0.0,0.0,0.0,0.05133636614646969,28255.056661470386,0.8150655849102763
