Pipeline,hpso,Baseline,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso04b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,0.0,0.0,0.0
Ingest_data,hpso04b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04b,150000.0,0.8675917824,0.0,0.092354035271303,0.008341406297765,0.001668281259553,0.0,0.0495973302272,0.028766341965449,7.21619939850365e-05,0.0495973302272,0.0,0.022993553121011,7.22993152e-05,0.0,0.0011567890432,0.608201020913371,0.00144628435712,0.0100857544704,0.0,0.0,0.0,0.018470807054261,0.028766341965449,0.022993553121011
RCAL_data,hpso04b,150000.0,0.8675917824,0.0,0.0392,0.0392,0.00784,0.0,0.1568,10.6725082938733,1.8816,0.1568,0.0,0.263755860447373,0.468114285714286,0.0,0.468114285714286,0.468114285714286,0.468114285714286,0.468114285714286,0.0,0.0,0.0,0.00784,10.6725082938733,0.263755860447373
FastImg,hpso04b,150000.0,0.213787567792808,0.0,0.02746023214865,0.0,0.0,0.0,0.0,0.001096952658962,7.45211958380672e-06,0.0,0.0,0.000117564335501,1.78156306494007e-05,0.0,7.12625225976028e-05,0.29973962323729,0.0,0.002485280475591,0.0,0.0,0.0,0.02746023214865,0.001096952658962,0.000117564335501
FastImg_data,hpso04b,150000.0,0.213787567792808,0.0,8e-05,0.0,0.0,0.0,0.0,0.304681484803306,0.0192,0.0,0.0,0.004146681317084,0.230700697314315,0.0,0.230700697314315,0.230700697314315,0.0,0.230700697314315,0.0,0.0,0.0,8e-05,0.304681484803306,0.004146681317084
PSS,hpso04b,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04b,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso04c,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,0.0,0.0,0.0
Ingest_data,hpso04c,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04c,150000.0,0.51177886726968,0.0,0.049993593734483,0.008775510642356,0.001755102128471,0.0,0.02925669191225,0.017774221087665,4.14311025776367e-05,0.02925669191225,0.0,0.01330646881696,4.264823893914e-05,0.0,0.000682371823026,0.358768300794948,0.000853262831903,0.00594942933201,0.0,0.0,0.0,0.009998718746897,0.017774221087665,0.01330646881696
RCAL_data,hpso04c,150000.0,0.51177886726968,0.0,0.0392,0.0392,0.00784,0.0,0.1568,6.12686110242484,1.8816,0.1568,0.0,0.147643572326084,0.276133319558298,0.0,0.276133319558298,0.276133319558298,0.276133319558298,0.276133319558298,0.0,0.0,0.0,0.00784,6.12686110242484,0.147643572326084
FastImg,hpso04c,150000.0,0.122730972935809,0.0,0.02895540085034,0.0,0.0,0.0,0.0,0.000369500655019,4.27810511161648e-06,0.0,0.0,4.3230204476245e-05,1.02275810779841e-05,0.0,4.09103243119365e-05,0.172074250935761,0.0,0.001426747560379,0.0,0.0,0.0,0.02895540085034,0.000369500655019,4.3230204476245e-05
FastImg_data,hpso04c,150000.0,0.122730972935809,0.0,8e-05,0.0,0.0,0.0,0.0,0.174911250341168,0.0192,0.0,0.0,0.001898612014943,0.132440446985188,0.0,0.132440446985188,0.132440446985188,0.0,0.132440446985188,0.0,0.0,0.0,8e-05,0.174911250341168,0.001898612014943
PSS,hpso04c,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04c,150000.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso05b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010152151800686,0.000292148253257,0.000146130412343,0.59306998478112,0.0,0.0,0.0
Ingest_data,hpso05b,150000.0,0.4337958912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso05b,150000.0,0.8675917824,0.0,0.084441030016427,0.008609046797806,0.001721809359561,0.0,0.0495973302272,0.036096054593296,0.000118193174419,0.0495973302272,0.0,0.024943911159002,7.22993152e-05,0.0,0.0011567890432,0.608201020913371,0.00144628435712,0.0100857544704,0.0,0.0,0.0,0.016888206003286,0.036096054593296,0.024943911159002
RCAL_data,hpso05b,150000.0,0.8675917824,0.0,0.0392,0.0392,0.00784,0.0,0.1568,17.4784906568744,1.8816,0.1568,0.0,0.380212621447704,0.468114285714286,0.0,0.468114285714286,0.468114285714286,0.468114285714286,0.468114285714286,0.0,0.0,0.0,0.00784,17.4784906568744,0.380212621447704
FastImg,hpso05b,150000.0,0.350122479123682,0.0,0.02838167030351,0.0,0.0,0.0,0.0,0.001150434443238,1.22044244838702e-05,0.0,0.0,0.000131167731931,2.91768732603068e-05,0.0,0.000116707493041,0.490887197337622,0.0,0.004070173819813,0.0,0.0,0.0,0.02838167030351,0.001150434443238,0.000131167731931
FastImg_data,hpso05b,150000.0,0.350122479123682,0.0,8e-05,0.0,0.0,0.0,0.0,0.498980508049878,0.0192,0.0,0.0,0.005637147274674,0.377821315398151,0.0,0.377821315398151,0.377821315398151,0.0,0.377821315398151,0.0,0.0,0.0,8e-05,0.498980508049878,0.005637147274674
PST,hpso05b,150000.0,0.0008589934592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PST_data,hpso05b,150000.0,0.0008589934592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso13,35000.0,0.097215758750609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002279090026974,6.55853245172483e-05,3.28168753424838e-05,0.133145930085948,0.0,0.0,0.0
Ingest_data,hpso13,35000.0,0.097215758750609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso13,35000.0,0.037020108883101,0.0,0.003356735981205,0.000449340563397,8.98681126794543e-05,0.0,0.001079753175757,0.001201110926135,4.71889687587876e-06,0.001079753175757,0.0,0.002104012380317,3.08500907359172e-06,0.0,4.93601451774675e-05,0.030405360421579,6.19982345918343e-05,0.000430358765766,0.0,0.0,0.0,0.000671347196241,0.001201110926135,0.002104012380317
RCAL_data,hpso13,35000.0,0.037020108883101,0.0,0.02,0.02,0.004,0.0,0.08,0.509237946302211,0.48,0.08,0.0,0.028052814870285,0.023402104051483,0.0,0.023402104051483,0.023402104051483,0.023402104051483,0.023402104051483,0.0,0.0,0.0,0.004,0.509237946302211,0.028052814870285
FastImg,hpso13,35000.0,0.011496832164475,0.0,0.001284420985605,0.0,0.0,0.0,0.0,2.72171524597828e-05,6.33068156340183e-07,0.0,0.0,2.32466752825487e-05,9.58069347039549e-07,0.0,3.8322773881582e-06,0.018885159239865,0.0,0.000133650673912,0.0,0.0,0.0,0.001284420985605,2.72171524597828e-05,2.32466752825487e-05
FastImg_data,hpso13,35000.0,0.011496832164475,0.0,8e-05,0.0,0.0,0.0,0.0,0.020352438533209,0.0096,0.0,0.0,0.000592153130959,0.014535346907004,0.0,0.014535346907004,0.014535346907004,0.0,0.014535346907004,0.0,0.0,0.0,8e-05,0.020352438533209,0.000592153130959
ICAL,hpso13,35000.0,0.185100544415503,0.0,0.030210623830984,0.004044065070575,0.000808813014115,2.098176125e-05,0.009717778581814,0.010809998335186,4.24700718829088e-05,0.009717778581814,0.000131346636202,0.018936111422793,2.77650816623255e-05,1.875e-12,0.000444241306597,0.27364824379421,0.000740978413694,0.003873228891894,0.0,0.0,0.0,0.006042124766197,0.010809998335186,0.018936111422793
ICAL_data,hpso13,35000.0,0.185100544415503,0.0,0.18,0.18,0.036,0.000225,0.72,4.5831415167199,4.32,0.72,0.000225,0.252475333832276,0.023402104051483,9e-06,0.023402104051483,0.023402104051483,0.023402104051483,0.023402104051483,0.0,0.0,0.0,0.036,4.5831415167199,0.252475333832276
DPrepA,hpso13,35000.0,0.041134300968462,0.0,0.003614069512037,0.000235422677439,0.000235422677439,1.28221874305556e-06,0.0,0.004147011173878,2.85776009635594e-06,0.0,6.65632567094354e-07,0.000874778295057,6.28440709240393e-06,0.0,0.000100550513478,0.1238762403107,0.0,0.00087667478939,0.0,0.0,0.0,0.003614069512037,0.004147011173878,0.000874778295057
