Pipeline,hpso,Baseline,Antenna stations,Channels,Visibility read rate,Image Spectral Fitting,IFFT,Reprojection Predict,Reprojection,Subtract Image Component,Phase Rotation Predict,Degrid,Visibility Weighting,Phase Rotation,Identify Component,Gridding Kernel Update,Subtract Visibility,Source Find,Correct,DFT,Solve,Flag,Average,Receive,Demix,FFT,Grid,Degridding Kernel Update
Ingest,hpso04b,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027068240457142856,7.789421714285714e-06,3.9129965714285716e-06,0.0158134892032,0.0,0.0,0.0
Ingest_data,hpso04b,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04b,150000.0,64.0,16384.0,0.022649241599999995,0.0,0.012199233753717975,0.008341406297764633,0.0016682812595529264,0.0,0.0051791265792,0.002828968302555465,7.578570816237712e-06,0.0051791265792,0.0,0.005018488747535098,1.8874367999999998e-06,0.0,3.0198988799999997e-05,0.017392819989942857,3.778019327999999e-05,0.0002632974336,0.0,0.0,0.0,0.0024398467507435947,0.002828968302555465,0.005018488747535098
RCAL_data,hpso04b,150000.0,64.0,16384.0,0.022649241599999995,0.0,0.12633021520516927,3191.8646547568756,638.372930951375,0.0,235.92959999999997,298.5648141391321,0.6041590255291543,235.92959999999997,0.0,0.05044326876897646,235.92959999999997,0.0,235.92959999999997,235.92959999999997,235.92959999999997,235.92959999999997,0.0,0.0,0.0,0.025266043041033852,298.5648141391321,0.05044326876897646
FastImg,hpso04b,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.02746023216175257,0.0,0.0,0.0,0.0,9.285562494918175e-05,6.952463120113638e-07,0.0,0.0,1.227647883370143e-05,9.437183999999999e-07,0.0,3.7748735999999996e-06,0.017392819989942857,0.0,0.0001316487168,0.0,0.0,0.0,0.02746023216175257,9.285562494918175e-05,1.227647883370143e-05
FastImg_data,hpso04b,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.06550455603231,0.0,0.0,0.0,235.92959999999997,64370.45326696874,21.72644725035512,235.92959999999997,0.0,0.4953195201099532,235.92959999999997,0.0,235.92959999999997,235.92959999999997,0.0,235.92959999999997,0.0,0.0,0.0,0.06550455603231,64370.45326696874,0.4953195201099532
PSS,hpso04b,150000.0,64.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04b,150000.0,64.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso04c,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027068240457142856,7.789421714285714e-06,3.9129965714285716e-06,0.0158134892032,0.0,0.0,0.0
Ingest_data,hpso04c,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RCAL,hpso04c,150000.0,64.0,16384.0,0.022649241599999995,0.0,0.013292209342262272,0.00877551064235567,0.0017551021284711343,0.0,0.00264241152,0.001818199770848007,4.384684090024245e-06,0.00264241152,0.0,0.0019779190667489257,1.8874367999999998e-06,0.0,3.0198988799999997e-05,0.017392819989942857,3.778019327999999e-05,0.0002632974336,0.0,0.0,0.0,0.0026584418684524537,0.001818199770848007,0.0019779190667489257
RCAL_data,hpso04c,150000.0,64.0,16384.0,0.022649241599999995,0.0,0.18140607737568706,6581.632981766752,1316.3265963533504,0.0,235.92959999999997,536.6383004742809,0.6851068890662884,235.92959999999997,0.0,0.0727089406304608,235.92959999999997,0.0,235.92959999999997,235.92959999999997,235.92959999999997,235.92959999999997,0.0,0.0,0.0,0.036281215475137414,536.6383004742809,0.0727089406304608
FastImg,hpso04c,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.028955400853379984,0.0,0.0,0.0,0.0,3.845023086798726e-05,4.462710726557845e-07,0.0,0.0,4.514249053346028e-06,9.437183999999999e-07,0.0,3.7748735999999996e-06,0.017392819989942857,0.0,0.0001316487168,0.0,0.0,0.0,0.028955400853379984,3.845023086798726e-05,4.514249053346028e-06
FastImg_data,hpso04c,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.06718743606506927,0.0,0.0,0.0,235.92959999999997,26466.90663211252,13.945971020493266,235.92959999999997,0.0,0.35062230376925146,235.92959999999997,0.0,235.92959999999997,235.92959999999997,0.0,235.92959999999997,0.0,0.0,0.0,0.06718743606506927,26466.90663211252,0.35062230376925146
PSS,hpso04c,150000.0,64.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PSS_data,hpso04c,150000.0,64.0,16384.0,0.00264644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ingest,hpso05b,150000.0,64.0,16384.0,0.011324620799999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00027068240457142856,7.789421714285714e-06,3.9129965714285716e-06,0.0158134892032,0.0,0.0,0.0
