,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],PSS [Pflop/s],PST [Pflop/s]
0,hpso01,65000.0,512.0,18000000.0,5.0,0.6324280932397511,0.7480448678218885,0.380692614816198,6.878779923892501,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.7611655758778377,17.157455660761382,18.91862123663922,0.45902462976,,
1,hpso02a,65000.0,512.0,18000000.0,5.0,0.6324280932397511,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.7611655758778377,14.293013920756847,16.054179496634685,0.45902462976,,
2,hpso02b,65000.0,512.0,18000000.0,5.0,0.6324280932397511,0.7480448678218885,0.380692614816198,4.014338183887967,2.3541660129512665,2.503983537367972,5.119784348908921,0.3007418376407202,1.7611655758778377,14.293013920756847,16.054179496634685,0.45902462976,,
3,hpso04a,65000.0,512.0,45900000.0,0.6666666666666666,0.6323672603670755,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.9653273803394518,0.0005008800000000369,0.9658282603394518,0.45902462976,0.00050088,
4,hpso05a,65000.0,512.0,15480000.0,0.6666666666666666,0.6323672603670755,0.21673228746570905,0.11622783250666727,0.0,0.0,0.0,0.0,0.0,0.9653273803394518,2.755000000354002e-07,0.9653276558394518,0.45902462976,,2.755e-07
0,hpso01,32500.0,512.0,18000000.0,5.0,0.3735878997093347,0.23045906201794364,0.19035725033564993,2.1176776710678658,0.7853543230085236,0.8298142440751326,2.478123347346944,0.13945865590018222,0.7944042120629282,6.350428241398649,7.144832453461577,0.4258280637949997,,
1,hpso02a,32500.0,512.0,18000000.0,5.0,0.3735878997093347,0.23045906201794364,0.19035725033564993,1.3071011128605645,0.7853543230085236,0.8298142440751326,2.478123347346944,0.13945865590018222,0.7944042120629282,5.539851683191348,6.334255895254276,0.4258280637949997,,
2,hpso02b,32500.0,512.0,18000000.0,5.0,0.3735878997093347,0.23045906201794364,0.19035725033564993,1.3071011128605645,0.7853543230085236,0.8298142440751326,2.478123347346944,0.13945865590018222,0.7944042120629282,5.539851683191348,6.334255895254276,0.4258280637949997,,
3,hpso04a,32500.0,512.0,45900000.0,0.6666666666666666,0.37449885649507075,0.06933743700171283,0.05827971201118975,0.0,0.0,0.0,0.0,0.0,0.5021160055079733,0.0005008800000000369,0.5026168855079733,0.2718275351194063,0.00050088,
4,hpso05a,32500.0,512.0,15480000.0,0.6666666666666666,0.37449885649507075,0.06933743700171283,0.05827971201118975,0.0,0.0,0.0,0.0,0.0,0.5021160055079733,2.755000000354002e-07,0.5021162810079733,0.2718275351194063,,2.755e-07
0,hpso01,4062.5,512.0,18000000.0,5.0,0.02346216824847453,0.004815539714435523,0.02201146394623468,0.044143317140551606,0.018031490480331248,0.024248449692654574,0.0866148458995505,0.009298509867936022,0.05028917190914473,0.18233661308102395,0.23262578499016867,0.09607158415952613,,
1,hpso02a,4062.5,512.0,18000000.0,5.0,0.02346216824847453,0.004815539714435523,0.02201146394623468,0.028966077913734484,0.018031490480331248,0.024248449692654574,0.0866148458995505,0.009298509867936022,0.05028917190914473,0.16715937385420682,0.21744854576335154,0.09607158415952613,,
2,hpso02b,4062.5,512.0,18000000.0,5.0,0.02346216824847453,0.004815539714435523,0.02201146394623468,0.028966077913734484,0.018031490480331248,0.024248449692654574,0.0866148458995505,0.009298509867936022,0.05028917190914473,0.16715937385420682,0.21744854576335154,0.09607158415952613,,
3,hpso04a,4062.5,512.0,45900000.0,0.6666666666666666,0.023494509365723417,0.0014588863489251762,0.006745089808972224,0.0,0.0,0.0,0.0,0.0,0.03169848552362082,0.0005008800000000022,0.03219936552362082,0.09607158415952613,0.00050088,
4,hpso05a,4062.5,512.0,15480000.0,0.6666666666666666,0.023494509365723417,0.0014588863489251762,0.006745089808972224,0.0,0.0,0.0,0.0,0.0,0.03169848552362082,2.7550000000070574e-07,0.03169876102362082,0.09607158415952613,,2.755e-07
