,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s]
0,hpso01,65000.0,32.0,18000000.0,5.0,0.0012715756418844445,0.005825243084842254,0.0041732968471542824,0.06527720382305588,0.016088546073449648,0.03784372491219375,0.09665153718297297,0.0009844940253866668,0.011270115573880982,0.21684550601705888,0.22811562159093987,0.0009227468800000001,16384.0,,
1,hpso02a,65000.0,32.0,18000000.0,5.0,0.0012715756418844445,0.005825243084842254,0.0041732968471542824,0.03780256465125384,0.016088546073449648,0.03784372491219375,0.09665153718297297,0.0009844940253866668,0.011270115573880982,0.18937086684525684,0.20064098241913783,0.0009227468800000001,16384.0,,
2,hpso02b,65000.0,32.0,18000000.0,5.0,0.0012715756418844445,0.005825243084842254,0.0041732968471542824,0.03780256465125384,0.016088546073449648,0.03784372491219375,0.09665153718297297,0.0009844940253866668,0.011270115573880982,0.18937086684525684,0.20064098241913783,0.0009227468800000001,16384.0,,
3,hpso04a,65000.0,32.0,45900000.0,0.6666666666666666,0.0006357878209422223,0.002109245989455071,0.001866939790081101,0.0,0.0,0.0,0.0,0.0,0.0046119736004783946,0.0005008800000000004,0.005112853600478395,0.00046137344000000003,16384.0,0.00050088,
4,hpso05a,65000.0,32.0,15480000.0,0.6666666666666666,0.0006357878209422223,0.002109245989455071,0.001866939790081101,0.0,0.0,0.0,0.0,0.0,0.0046119736004783946,2.754999999998384e-07,0.004612249100478394,0.00046137344000000003,16384.0,,2.755e-07
0,hpso01,65000.0,32.0,18000000.0,5.0,0.002542659469084445,0.007274451785808003,0.004416403152961977,0.07669361278045465,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.014233514407854423,0.23177326194652714,0.24600677635438156,0.0018454937600000001,32768.0,,
1,hpso02a,65000.0,32.0,18000000.0,5.0,0.002542659469084445,0.007274451785808003,0.004416403152961977,0.03900344288575328,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.014233514407854423,0.19408309205182578,0.2083166064596802,0.0018454937600000001,32768.0,,
2,hpso02b,65000.0,32.0,18000000.0,5.0,0.002542659469084445,0.007274451785808003,0.004416403152961977,0.03900344288575328,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.014233514407854423,0.19408309205182578,0.2083166064596802,0.0018454937600000001,32768.0,,
3,hpso04a,65000.0,32.0,45900000.0,0.6666666666666666,0.0012713297345422225,0.002109245989455071,0.001866939790081101,0.0,0.0,0.0,0.0,0.0,0.005247515514078394,0.0005008800000000004,0.005748395514078394,0.0009227468800000001,32768.0,0.00050088,
4,hpso05a,65000.0,32.0,15480000.0,0.6666666666666666,0.0012713297345422225,0.002109245989455071,0.001866939790081101,0.0,0.0,0.0,0.0,0.0,0.005247515514078394,2.754999999998384e-07,0.005247791014078394,0.0009227468800000001,32768.0,,2.755e-07
0,hpso01,65000.0,32.0,18000000.0,5.0,0.005084827123484445,0.007274451785808003,0.004416403152961977,0.07669361278045465,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.016775682062254424,0.23177326194652714,0.24854894400878158,0.0036909875200000003,65536.0,,
1,hpso02a,65000.0,32.0,18000000.0,5.0,0.005084827123484445,0.007274451785808003,0.004416403152961977,0.03900344288575328,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.016775682062254424,0.19408309205182578,0.21085877411408022,0.0036909875200000003,65536.0,,
2,hpso02b,65000.0,32.0,18000000.0,5.0,0.005084827123484445,0.007274451785808003,0.004416403152961977,0.03900344288575328,0.016088546073449648,0.03784372491219375,0.1000070899017033,0.0011402882787258227,0.016775682062254424,0.19408309205182578,0.21085877411408022,0.0036909875200000003,65536.0,,
3,hpso04a,65000.0,32.0,45900000.0,0.6666666666666666,0.0025424135617422225,0.002109245989455071,0.001866939790081101,0.0,0.0,0.0,0.0,0.0,0.006518599341278394,0.0005008800000000004,0.007019479341278395,0.0018454937600000001,65536.0,0.00050088,
4,hpso05a,65000.0,32.0,15480000.0,0.6666666666666666,0.0025424135617422225,0.002109245989455071,0.001866939790081101,0.0,0.0,0.0,0.0,0.0,0.006518599341278394,2.754999999998384e-07,0.006518874841278394,0.0018454937600000001,65536.0,,2.755e-07
0,hpso01,65000.0,64.0,18000000.0,5.0,0.005009231860622223,0.01671343527717266,0.008270304771974263,0.15976976611847538,0.051289540674027904,0.07808719615864373,0.18080536791673285,0.00400149184512,0.029992971909769142,0.4739533627129999,0.503946334622769,0.003635063466666667,16384.0,,
