,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],PSS [Pflop/s],PST [Pflop/s],SinglePulse [Pflop/s]
0,hpso04b,150000.0,197.0,2880000.0,0.16666666666666666,0.603660415247406,0.944583290603478,0.359670932271939,0.0,0.0,0.0,0.0,0.0,1.907914638122823,0.0005008799999999258,1.9084155181228228,0.438222379885714,0.00050088,,
1,hpso04c,150000.0,197.0,8640000.0,0.16666666666666666,0.603660415247406,0.557535133009361,0.232292677926311,0.0,0.0,0.0,0.0,0.0,1.3934882261830779,0.0005008799999999258,1.3939891061830778,0.438222379885714,0.00050088,,
2,hpso05b,150000.0,197.0,5760000.0,0.25,0.603660415247406,0.954015025409785,0.554442004905579,0.0,0.0,0.0,0.0,0.0,2.11211744556277,2.755000001464225e-07,2.11211772106277,0.438222379885714,,2.755e-07,
3,hpso13,35000.0,197.0,18000000.0,8.0,0.135523422312782,0.044291926291004,0.021694002955364,0.398962659320725,0.142607118948889,0.134336108240716,0.482970009357799,0.0,0.20150935155915,1.1588758958681291,1.360385247427279,0.098377986775873,,,
4,hpso14,25000.0,197.0,7200000.0,8.0,0.153018574098272,0.027555502716787,0.013671169517356,0.148879232344789,0.089032997777142,0.086262381456685,0.306761545410279,0.0,0.194245246332415,0.6309361569888949,0.82518140332131,0.111078947134222,,,
5,hpso15,15000.0,197.0,45360000.0,4.4,0.082996686438641,0.008318996125257,0.0039338080496,0.043449850448698,0.025356101560177,0.025269291260446,0.094476698522325,0.0,0.095249490613498,0.188551941791646,0.283801432405144,0.06024677662654,,,
6,hpso18,150000.0,197.0,36000000.0,0.016666666666666666,0.603660415247406,0.944583290603478,0.359670932271939,0.0,0.0,0.0,0.0,0.0,1.907914638122823,3.999999999892978e-06,1.9079186381228228,0.438222379885714,,,4e-06
7,hpso22,150000.0,197.0,21600000.0,8.0,0.603660415247406,0.754859471606394,0.382360428370664,6.79838368638561,2.99214469623694,3.08472679568747,0.0,0.0,1.740880315224464,12.87525517831002,14.616135493534484,0.438222379885714,,,
8,hpso27and33,30000.0,197.0,36000000.0,0.12333333333333334,0.192853043276103,0.091281388489499,0.046044999023372,0.256176712423875,0.309438088194971,0.470294196141789,0.0,0.0,0.330179430788974,1.035908996760635,1.366088427549609,0.139996738739474,,,
9,hpso32,20000.0,197.0,36000000.0,2.2,0.12074901442254,0.088378646189618,0.041848241549753,0.23818137729968,0.0,0.288820021363292,0.0,0.0,0.250975902161911,0.527001398662972,0.777977300824883,0.087652977073976,,,
10,hpso37a,120000.0,197.0,36000000.0,3.8,0.603056691387445,0.884084286938715,0.393836188799207,5.44423497402755,3.4336761385403,3.57196883181701,0.0,0.0,1.880977167125367,12.44987994438486,14.330857111510227,0.437784111407789,,,
11,hpso37b,120000.0,197.0,7200000.0,8.0,0.603056691387445,0.884084286938715,0.393836188799207,7.96151583694246,3.43365947071791,3.56514306158522,0.0,0.0,1.880977167125367,14.96031836924559,16.841295536370957,0.437784111407789,,,
12,hpso37c,120000.0,197.0,7200000.0,8.0,0.603056691387445,0.884084286938715,0.393836188799207,7.96151583694246,3.43365947071791,3.56514306158522,0.0,0.0,1.880977167125367,14.96031836924559,16.841295536370957,0.437784111407789,,,
13,hpso38a,150000.0,197.0,3600000.0,8.0,0.603660415247406,0.76939532415572,0.426825603476016,5.24441799253836,3.3800378149676,3.49599012131456,0.0,0.0,1.799881342879142,12.12044592882052,13.920327271699662,0.438222379885714,,,
14,hpso38b,150000.0,197.0,3600000.0,8.0,0.603660415247406,0.76939532415572,0.426825603476016,6.92920674151334,3.3800378149676,3.49599012131456,0.0,0.0,1.799881342879142,13.8052346777955,15.605116020674643,0.438222379885714,,,
