,HPSO,Baseline,Stations,Total Time [s],Tobs [h],Ingest [Pflop/s],RCAL [Pflop/s],FastImg [Pflop/s],ICAL [Pflop/s],DPrepA [Pflop/s],DPrepB [Pflop/s],DPrepC [Pflop/s],DPrepD [Pflop/s],Total RT [Pflop/s],Total Batch [Pflop/s],Total [Pflop/s],Ingest Rate [TB/s],Channels,PSS [Pflop/s],PST [Pflop/s],SinglePulse [Pflop/s]
0,hpso04b,15000.0,197.0,2880000.0,0.16666666666666666,0.010419068528886676,0.017142651216453364,0.0077853600166312405,0.0,0.0,0.0,0.0,0.0,0.03534707976197128,0.0005008800000000022,0.03584795976197128,0.007558850711258442,8192.0,0.00050088,,
1,hpso04c,15000.0,197.0,8640000.0,0.16666666666666666,0.010551972081746477,0.0100287032586116,0.0047311290619839776,0.0,0.0,0.0,0.0,0.0,0.025311804402342056,0.0005008799999999987,0.025812684402342054,0.007655332322913029,8192.0,0.00050088,,
2,hpso05b,15000.0,197.0,5760000.0,0.25,0.010501603885546183,0.02048355197355449,0.01258016967897385,0.0,0.0,0.0,0.0,0.0,0.043565325538074524,2.7550000000070574e-07,0.043565601038074525,0.007618767425730294,8192.0,,2.755e-07,
3,hpso13,15000.0,197.0,18000000.0,8.0,0.010391430497137043,0.008679745169945931,0.003983711666176051,0.07829738840811712,0.02609163631598536,0.025045771736321217,0.13133173041228752,0.0,0.023054887333259028,0.2607665268727112,0.28382141420597023,0.007538786824411274,8192.0,,,
4,hpso14,15000.0,197.0,7200000.0,8.0,0.010594407789668317,0.010536381162916386,0.004933812437349346,0.054944930230432606,0.03225045582517197,0.03163184132044563,0.18496846136972717,0.0,0.02606460138993405,0.30379568874577734,0.3298602901357114,0.0076861386136697655,8192.0,,,
5,hpso15,15000.0,197.0,45360000.0,4.4,0.010380493485963945,0.008318996125257308,0.0039338080496002115,0.043449850448698,0.025356101560176533,0.02526929126044593,0.09447669852232529,0.0,0.022633297660821464,0.18855194179164575,0.2111852394524672,0.007530847078317521,8192.0,,,
6,hpso18,15000.0,197.0,36000000.0,0.016666666666666666,0.010419068528886676,0.017142651216453364,0.0077853600166312405,0.0,0.0,0.0,0.0,0.0,0.03534707976197128,3.9999999999970615e-06,0.03535107976197128,0.007558850711258442,8192.0,,,4e-06
7,hpso22,15000.0,197.0,21600000.0,8.0,0.010486904867019708,0.014973225741127857,0.008401557668437962,0.13487611161964097,0.0553593160835959,0.05992874798421879,0.0,0.0,0.033861688276585526,0.25016417568745564,0.28402586396404117,0.0076080966425446,8192.0,,,
8,hpso27and33,15000.0,197.0,36000000.0,0.12333333333333334,0.010820021989399931,0.021063544282304447,0.011584421928955898,0.06816956248154052,0.078878291093377,0.22820043418502725,0.0,0.0,0.04346798820066027,0.37524828775994473,0.418716275960605,0.00784992371296827,8192.0,,,
9,hpso32,15000.0,197.0,36000000.0,2.2,0.010870632385188754,0.028187928014723865,0.02000930853980106,0.13605990954536495,0.0,0.16555590251109023,0.0,0.0,0.059067868939713684,0.3016158120564552,0.3606836809961689,0.007886664435447924,8192.0,,,
