,hpso01 (Ingest) [Bmax=32500],hpso01 (RCAL) [Bmax=32500],hpso01 (FastImg) [Bmax=32500],hpso01 (ICAL) [Bmax=32500],hpso01 (DPrepA) [Bmax=32500],hpso01 (DPrepB) [Bmax=32500],hpso01 (DPrepC) [Bmax=32500],hpso01 (DPrepD) [Bmax=32500],hpso02a (Ingest) [Bmax=32500],hpso02a (RCAL) [Bmax=32500],hpso02a (FastImg) [Bmax=32500],hpso02a (ICAL) [Bmax=32500],hpso02a (DPrepA) [Bmax=32500],hpso02a (DPrepB) [Bmax=32500],hpso02a (DPrepC) [Bmax=32500],hpso02a (DPrepD) [Bmax=32500],hpso02b (Ingest) [Bmax=32500],hpso02b (RCAL) [Bmax=32500],hpso02b (FastImg) [Bmax=32500],hpso02b (ICAL) [Bmax=32500],hpso02b (DPrepA) [Bmax=32500],hpso02b (DPrepB) [Bmax=32500],hpso02b (DPrepC) [Bmax=32500],hpso02b (DPrepD) [Bmax=32500],hpso04a (Ingest) [Bmax=32500],hpso04a (RCAL) [Bmax=32500],hpso04a (FastImg) [Bmax=32500],hpso04a (PSS) [Bmax=32500],hpso04b (Ingest) [Bmax=32500],hpso04b (RCAL) [Bmax=32500],hpso04b (FastImg) [Bmax=32500],hpso04b (PSS) [Bmax=32500],hpso04c (Ingest) [Bmax=32500],hpso04c (RCAL) [Bmax=32500],hpso04c (FastImg) [Bmax=32500],hpso04c (PSS) [Bmax=32500],hpso05a (Ingest) [Bmax=32500],hpso05a (RCAL) [Bmax=32500],hpso05a (FastImg) [Bmax=32500],hpso05a (PST) [Bmax=32500],hpso05b (Ingest) [Bmax=32500],hpso05b (RCAL) [Bmax=32500],hpso05b (FastImg) [Bmax=32500],hpso05b (PST) [Bmax=32500],hpso13 (Ingest) [Bmax=32500],hpso13 (RCAL) [Bmax=32500],hpso13 (FastImg) [Bmax=32500],hpso13 (ICAL) [Bmax=32500],hpso13 (DPrepA) [Bmax=32500],hpso13 (DPrepB) [Bmax=32500],hpso13 (DPrepC) [Bmax=32500],hpso14 (Ingest) [Bmax=32500],hpso14 (RCAL) [Bmax=32500],hpso14 (FastImg) [Bmax=32500],hpso14 (ICAL) [Bmax=32500],hpso14 (DPrepA) [Bmax=32500],hpso14 (DPrepB) [Bmax=32500],hpso14 (DPrepC) [Bmax=32500],hpso15 (Ingest) [Bmax=32500],hpso15 (RCAL) [Bmax=32500],hpso15 (FastImg) [Bmax=32500],hpso15 (ICAL) [Bmax=32500],hpso15 (DPrepA) [Bmax=32500],hpso15 (DPrepB) [Bmax=32500],hpso15 (DPrepC) [Bmax=32500],hpso18 (Ingest) [Bmax=32500],hpso18 (RCAL) [Bmax=32500],hpso18 (FastImg) [Bmax=32500],hpso18 (SinglePulse) [Bmax=32500],hpso22 (Ingest) [Bmax=32500],hpso22 (RCAL) [Bmax=32500],hpso22 (FastImg) [Bmax=32500],hpso22 (ICAL) [Bmax=32500],hpso22 (DPrepA) [Bmax=32500],hpso22 (DPrepB) [Bmax=32500],hpso27and33 (Ingest) [Bmax=32500],hpso27and33 (RCAL) [Bmax=32500],hpso27and33 (FastImg) [Bmax=32500],hpso27and33 (ICAL) [Bmax=32500],hpso27and33 (DPrepA) [Bmax=32500],hpso27and33 (DPrepB) [Bmax=32500],hpso32 (Ingest) [Bmax=32500],hpso32 (RCAL) [Bmax=32500],hpso32 (FastImg) [Bmax=32500],hpso32 (ICAL) [Bmax=32500],hpso32 (DPrepB) [Bmax=32500],hpso37a (Ingest) [Bmax=32500],hpso37a (RCAL) [Bmax=32500],hpso37a (FastImg) [Bmax=32500],hpso37a (ICAL) [Bmax=32500],hpso37a (DPrepA) [Bmax=32500],hpso37a (DPrepB) [Bmax=32500],hpso37b (Ingest) [Bmax=32500],hpso37b (RCAL) [Bmax=32500],hpso37b (FastImg) [Bmax=32500],hpso37b (ICAL) [Bmax=32500],hpso37b (DPrepA) [Bmax=32500],hpso37b (DPrepB) [Bmax=32500],hpso37c (Ingest) [Bmax=32500],hpso37c (RCAL) [Bmax=32500],hpso37c (FastImg) [Bmax=32500],hpso37c (ICAL) [Bmax=32500],hpso37c (DPrepA) [Bmax=32500],hpso37c (DPrepB) [Bmax=32500],hpso38a (Ingest) [Bmax=32500],hpso38a (RCAL) [Bmax=32500],hpso38a (FastImg) [Bmax=32500],hpso38a (ICAL) [Bmax=32500],hpso38a (DPrepA) [Bmax=32500],hpso38a (DPrepB) [Bmax=32500],hpso38b (Ingest) [Bmax=32500],hpso38b (RCAL) [Bmax=32500],hpso38b (FastImg) [Bmax=32500],hpso38b (ICAL) [Bmax=32500],hpso38b (DPrepA) [Bmax=32500],hpso38b (DPrepB) [Bmax=32500],max_low (Ingest) [Bmax=32500],max_low (RCAL) [Bmax=32500],max_low (FastImg) [Bmax=32500],max_low (ICAL) [Bmax=32500],max_low (DPrepA) [Bmax=32500],max_low (DPrepA_Image) [Bmax=32500],max_low (DPrepB) [Bmax=32500],max_low (DPrepC) [Bmax=32500],max_low (DPrepD) [Bmax=32500],max_mid_band1 (Ingest) [Bmax=32500],max_mid_band1 (RCAL) [Bmax=32500],max_mid_band1 (FastImg) [Bmax=32500],max_mid_band1 (ICAL) [Bmax=32500],max_mid_band1 (DPrepA) [Bmax=32500],max_mid_band1 (DPrepA_Image) [Bmax=32500],max_mid_band1 (DPrepB) [Bmax=32500],max_mid_band1 (DPrepC) [Bmax=32500],max_mid_band1 (DPrepD) [Bmax=32500],max_mid_band2 (Ingest) [Bmax=32500],max_mid_band2 (RCAL) [Bmax=32500],max_mid_band2 (FastImg) [Bmax=32500],max_mid_band2 (ICAL) [Bmax=32500],max_mid_band2 (DPrepA) [Bmax=32500],max_mid_band2 (DPrepA_Image) [Bmax=32500],max_mid_band2 (DPrepB) [Bmax=32500],max_mid_band2 (DPrepC) [Bmax=32500],max_mid_band2 (DPrepD) [Bmax=32500],max_mid_band5a_1 (Ingest) [Bmax=32500],max_mid_band5a_1 (RCAL) [Bmax=32500],max_mid_band5a_1 (FastImg) [Bmax=32500],max_mid_band5a_1 (ICAL) [Bmax=32500],max_mid_band5a_1 (DPrepA) [Bmax=32500],max_mid_band5a_1 (DPrepA_Image) [Bmax=32500],max_mid_band5a_1 (DPrepB) [Bmax=32500],max_mid_band5a_1 (DPrepC) [Bmax=32500],max_mid_band5a_1 (DPrepD) [Bmax=32500],max_mid_band5a_2 (Ingest) [Bmax=32500],max_mid_band5a_2 (RCAL) [Bmax=32500],max_mid_band5a_2 (FastImg) [Bmax=32500],max_mid_band5a_2 (ICAL) [Bmax=32500],max_mid_band5a_2 (DPrepA) [Bmax=32500],max_mid_band5a_2 (DPrepA_Image) [Bmax=32500],max_mid_band5a_2 (DPrepB) [Bmax=32500],max_mid_band5a_2 (DPrepC) [Bmax=32500],max_mid_band5a_2 (DPrepD) [Bmax=32500],max_mid_band5b_1 (Ingest) [Bmax=32500],max_mid_band5b_1 (RCAL) [Bmax=32500],max_mid_band5b_1 (FastImg) [Bmax=32500],max_mid_band5b_1 (ICAL) [Bmax=32500],max_mid_band5b_1 (DPrepA) [Bmax=32500],max_mid_band5b_1 (DPrepA_Image) [Bmax=32500],max_mid_band5b_1 (DPrepB) [Bmax=32500],max_mid_band5b_1 (DPrepC) [Bmax=32500],max_mid_band5b_1 (DPrepD) [Bmax=32500],max_mid_band5b_2 (Ingest) [Bmax=32500],max_mid_band5b_2 (RCAL) [Bmax=32500],max_mid_band5b_2 (FastImg) [Bmax=32500],max_mid_band5b_2 (ICAL) [Bmax=32500],max_mid_band5b_2 (DPrepA) [Bmax=32500],max_mid_band5b_2 (DPrepA_Image) [Bmax=32500],max_mid_band5b_2 (DPrepB) [Bmax=32500],max_mid_band5b_2 (DPrepC) [Bmax=32500],max_mid_band5b_2 (DPrepD) [Bmax=32500]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Low,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Low,Low,Low,Low,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),Low,Low,Low,Low,Low,Low,Low,Low,Low,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b
Frequency Min [GHz],0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.15,0.15,0.15,0.15,0.65,0.65,0.65,0.65,1.25,1.25,1.25,1.25,0.15,0.15,0.15,0.15,0.95,0.95,0.95,0.95,0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.415,0.65,0.65,0.65,0.65,8,8,8,8,8,8,1,1,1,1,1,1,0.35,0.35,0.35,0.35,0.35,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,6,6,6,6,6,6,6,6,6,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
Frequency Max [GHz],0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,1.55,1.55,1.55,1.55,0.35,0.35,0.35,0.35,1.76,1.76,1.76,1.76,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.56,1.56,1.56,1.425,0.95,0.95,0.95,0.95,12,12,12,12,12,12,1.7,1.7,1.7,1.7,1.7,1.7,1.05,1.05,1.05,1.05,1.05,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11,11,11,11,11,11,11,11,11,11,11,11,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
Pipeline,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PST,Ingest,RCAL,FastImg,PST,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,SinglePulse,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,32768,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,40000,40000,40000,40000,40000,40000,40000,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
