,hpso04b (Ingest) [Na=197] [Bmax=25000],hpso04b (RCAL) [Na=197] [Bmax=25000],hpso04b (FastImg) [Na=197] [Bmax=25000],hpso04b (PSS) [Na=197] [Bmax=25000],hpso04c (Ingest) [Na=197] [Bmax=25000],hpso04c (RCAL) [Na=197] [Bmax=25000],hpso04c (FastImg) [Na=197] [Bmax=25000],hpso04c (PSS) [Na=197] [Bmax=25000],hpso05b (Ingest) [Na=197] [Bmax=25000],hpso05b (RCAL) [Na=197] [Bmax=25000],hpso05b (FastImg) [Na=197] [Bmax=25000],hpso05b (PST) [Na=197] [Bmax=25000],hpso13 (Ingest) [Nf_max=65536] [Na=197] [Bmax=25000],hpso13 (RCAL) [Nf_max=65536] [Na=197] [Bmax=25000],hpso13 (FastImg) [Nf_max=65536] [Na=197] [Bmax=25000],hpso13 (ICAL) [Nf_max=65536] [Na=197] [Bmax=25000],hpso13 (DPrepA) [Nf_max=65536] [Na=197] [Bmax=25000],hpso13 (DPrepB) [Nf_max=65536] [Na=197] [Bmax=25000],hpso13 (DPrepC) [Nf_max=65536] [Na=197] [Bmax=25000],hpso14 (Ingest) [Na=197] [Bmax=25000],hpso14 (RCAL) [Na=197] [Bmax=25000],hpso14 (FastImg) [Na=197] [Bmax=25000],hpso14 (ICAL) [Na=197] [Bmax=25000],hpso14 (DPrepA) [Na=197] [Bmax=25000],hpso14 (DPrepB) [Na=197] [Bmax=25000],hpso14 (DPrepC) [Na=197] [Bmax=25000],hpso15 (Ingest) [Na=197] [Bmax=15000],hpso15 (RCAL) [Na=197] [Bmax=15000],hpso15 (FastImg) [Na=197] [Bmax=15000],hpso15 (ICAL) [Na=197] [Bmax=15000],hpso15 (DPrepA) [Na=197] [Bmax=15000],hpso15 (DPrepB) [Na=197] [Bmax=15000],hpso15 (DPrepC) [Na=197] [Bmax=15000],hpso18 (Ingest) [Na=197] [Bmax=25000],hpso18 (RCAL) [Na=197] [Bmax=25000],hpso18 (FastImg) [Na=197] [Bmax=25000],hpso18 (SinglePulse) [Na=197] [Bmax=25000],hpso22 (Ingest) [Na=197] [Bmax=25000],hpso22 (RCAL) [Na=197] [Bmax=25000],hpso22 (FastImg) [Na=197] [Bmax=25000],hpso22 (ICAL) [Na=197] [Bmax=25000],hpso22 (DPrepA) [Na=197] [Bmax=25000],hpso22 (DPrepB) [Na=197] [Bmax=25000],hpso27and33 (Ingest) [Na=197] [Bmax=25000],hpso27and33 (RCAL) [Na=197] [Bmax=25000],hpso27and33 (FastImg) [Na=197] [Bmax=25000],hpso27and33 (ICAL) [Na=197] [Bmax=25000],hpso27and33 (DPrepA) [Na=197] [Bmax=25000],hpso27and33 (DPrepB) [Na=197] [Bmax=25000],hpso32 (Ingest) [Na=197] [Bmax=20000],hpso32 (RCAL) [Na=197] [Bmax=20000],hpso32 (FastImg) [Na=197] [Bmax=20000],hpso32 (ICAL) [Na=197] [Bmax=20000],hpso32 (DPrepB) [Na=197] [Bmax=20000],hpso37a (Ingest) [Na=197] [Bmax=25000],hpso37a (RCAL) [Na=197] [Bmax=25000],hpso37a (FastImg) [Na=197] [Bmax=25000],hpso37a (ICAL) [Na=197] [Bmax=25000],hpso37a (DPrepA) [Na=197] [Bmax=25000],hpso37a (DPrepB) [Na=197] [Bmax=25000],hpso37b (Ingest) [Na=197] [Bmax=25000],hpso37b (RCAL) [Na=197] [Bmax=25000],hpso37b (FastImg) [Na=197] [Bmax=25000],hpso37b (ICAL) [Na=197] [Bmax=25000],hpso37b (DPrepA) [Na=197] [Bmax=25000],hpso37b (DPrepB) [Na=197] [Bmax=25000],hpso37c (Ingest) [Na=197] [Bmax=25000],hpso37c (RCAL) [Na=197] [Bmax=25000],hpso37c (FastImg) [Na=197] [Bmax=25000],hpso37c (ICAL) [Na=197] [Bmax=25000],hpso37c (DPrepA) [Na=197] [Bmax=25000],hpso37c (DPrepB) [Na=197] [Bmax=25000],hpso38a (Ingest) [Na=197] [Bmax=25000],hpso38a (RCAL) [Na=197] [Bmax=25000],hpso38a (FastImg) [Na=197] [Bmax=25000],hpso38a (ICAL) [Na=197] [Bmax=25000],hpso38a (DPrepA) [Na=197] [Bmax=25000],hpso38a (DPrepB) [Na=197] [Bmax=25000],hpso38b (Ingest) [Na=197] [Bmax=25000],hpso38b (RCAL) [Na=197] [Bmax=25000],hpso38b (FastImg) [Na=197] [Bmax=25000],hpso38b (ICAL) [Na=197] [Bmax=25000],hpso38b (DPrepA) [Na=197] [Bmax=25000],hpso38b (DPrepB) [Na=197] [Bmax=25000],max_mid_band1 (Ingest) [Na=197] [Bmax=25000],max_mid_band1 (RCAL) [Na=197] [Bmax=25000],max_mid_band1 (FastImg) [Na=197] [Bmax=25000],max_mid_band1 (ICAL) [Na=197] [Bmax=25000],max_mid_band1 (DPrepA) [Na=197] [Bmax=25000],max_mid_band1 (DPrepA_Image) [Na=197] [Bmax=25000],max_mid_band1 (DPrepB) [Na=197] [Bmax=25000],max_mid_band1 (DPrepC) [Na=197] [Bmax=25000],max_mid_band1 (DPrepD) [Na=197] [Bmax=25000],max_mid_band2 (Ingest) [Na=197] [Bmax=25000],max_mid_band2 (RCAL) [Na=197] [Bmax=25000],max_mid_band2 (FastImg) [Na=197] [Bmax=25000],max_mid_band2 (ICAL) [Na=197] [Bmax=25000],max_mid_band2 (DPrepA) [Na=197] [Bmax=25000],max_mid_band2 (DPrepA_Image) [Na=197] [Bmax=25000],max_mid_band2 (DPrepB) [Na=197] [Bmax=25000],max_mid_band2 (DPrepC) [Na=197] [Bmax=25000],max_mid_band2 (DPrepD) [Na=197] [Bmax=25000],max_mid_band5a_1 (Ingest) [Na=197] [Bmax=25000],max_mid_band5a_1 (RCAL) [Na=197] [Bmax=25000],max_mid_band5a_1 (FastImg) [Na=197] [Bmax=25000],max_mid_band5a_1 (ICAL) [Na=197] [Bmax=25000],max_mid_band5a_1 (DPrepA) [Na=197] [Bmax=25000],max_mid_band5a_1 (DPrepA_Image) [Na=197] [Bmax=25000],max_mid_band5a_1 (DPrepB) [Na=197] [Bmax=25000],max_mid_band5a_1 (DPrepC) [Na=197] [Bmax=25000],max_mid_band5a_1 (DPrepD) [Na=197] [Bmax=25000],max_mid_band5a_2 (Ingest) [Na=197] [Bmax=25000],max_mid_band5a_2 (RCAL) [Na=197] [Bmax=25000],max_mid_band5a_2 (FastImg) [Na=197] [Bmax=25000],max_mid_band5a_2 (ICAL) [Na=197] [Bmax=25000],max_mid_band5a_2 (DPrepA) [Na=197] [Bmax=25000],max_mid_band5a_2 (DPrepA_Image) [Na=197] [Bmax=25000],max_mid_band5a_2 (DPrepB) [Na=197] [Bmax=25000],max_mid_band5a_2 (DPrepC) [Na=197] [Bmax=25000],max_mid_band5a_2 (DPrepD) [Na=197] [Bmax=25000],max_mid_band5b_1 (Ingest) [Na=197] [Bmax=25000],max_mid_band5b_1 (RCAL) [Na=197] [Bmax=25000],max_mid_band5b_1 (FastImg) [Na=197] [Bmax=25000],max_mid_band5b_1 (ICAL) [Na=197] [Bmax=25000],max_mid_band5b_1 (DPrepA) [Na=197] [Bmax=25000],max_mid_band5b_1 (DPrepA_Image) [Na=197] [Bmax=25000],max_mid_band5b_1 (DPrepB) [Na=197] [Bmax=25000],max_mid_band5b_1 (DPrepC) [Na=197] [Bmax=25000],max_mid_band5b_1 (DPrepD) [Na=197] [Bmax=25000],max_mid_band5b_2 (Ingest) [Na=197] [Bmax=25000],max_mid_band5b_2 (RCAL) [Na=197] [Bmax=25000],max_mid_band5b_2 (FastImg) [Na=197] [Bmax=25000],max_mid_band5b_2 (ICAL) [Na=197] [Bmax=25000],max_mid_band5b_2 (DPrepA) [Na=197] [Bmax=25000],max_mid_band5b_2 (DPrepA_Image) [Na=197] [Bmax=25000],max_mid_band5b_2 (DPrepB) [Na=197] [Bmax=25000],max_mid_band5b_2 (DPrepC) [Na=197] [Bmax=25000],max_mid_band5b_2 (DPrepD) [Na=197] [Bmax=25000]
-- Parameters --,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Telescope,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid,SKA1_Mid
Band,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,(undefined),(undefined),(undefined),(undefined),(undefined),(undefined),Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid1,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid2,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5a,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b,Mid5b
Frequency Min [GHz],0.65,0.65,0.65,0.65,1.25,1.25,1.25,1.25,0.95,0.95,0.95,0.95,0.79,0.79,0.79,0.79,0.79,0.79,0.79,1.2,1.2,1.2,1.2,1.2,1.2,1.3,1.3,1.3,1.3,1.3,1.3,1.3,1.415,0.65,0.65,0.65,0.65,8.0,8.0,8.0,8.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35,0.35,0.35,0.35,0.35,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.35,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.95,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,4.6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9,12.9
Frequency Max [GHz],0.95,0.95,0.95,0.95,1.55,1.55,1.55,1.55,1.76,1.76,1.76,1.76,0.95,0.95,0.95,0.95,0.95,0.95,0.95,1.5,1.5,1.5,1.5,1.5,1.5,1.4,1.56,1.56,1.56,1.56,1.56,1.56,1.425,0.95,0.95,0.95,0.95,12.0,12.0,12.0,12.0,12.0,12.0,1.7,1.7,1.7,1.7,1.7,1.7,1.05,1.05,1.05,1.05,1.05,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,1.7,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.05,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,1.76,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,7.1,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,10.8,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4,15.4
Pipeline,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PSS,Ingest,RCAL,FastImg,PST,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,DPrepC,Ingest,RCAL,FastImg,SinglePulse,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepB,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD,Ingest,RCAL,FastImg,ICAL,DPrepA,DPrepA_Image,DPrepB,DPrepC,DPrepD
Baseline coalescing,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
On-the-fly kernels,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Scale predict by facet,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True
Max # of channels,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536,65536
